race_id	0	1	2	3
202301010101	単勝	5	120	1
202301010101	複勝	5 8 6	100 110 310	1 2 6
202301010101	馬連	5 - 8	170	1
202301010101	ワイド	5 - 8 5 - 6 6 - 8	120 600 880	1 8 12
202301010101	馬単	5 → 8	210	1
202301010101	三連複	5 - 6 - 8	1120	4
202301010101	三連単	5 → 8 → 6	2680	9
202301010102	単勝	9	240	1
202301010102	複勝	9 8 3	140 280 990	1 5 11
202301010102	枠連	6 - 7	510	3
202301010102	馬連	8 - 9	1470	5
202301010102	ワイド	8 - 9 3 - 9 3 - 8	560 2,710 4,990	5 30 43
202301010102	馬単	9 → 8	2020	6
202301010102	三連複	3 - 8 - 9	18440	58
202301010102	三連単	9 → 8 → 3	52300	176
202301010103	単勝	11	840	6
202301010103	複勝	11 4 9	190 130 150	4 1 2
202301010103	枠連	3 - 7	420	2
202301010103	馬連	4 - 11	990	1
202301010103	ワイド	4 - 11 9 - 11 4 - 9	370 510 360	2 5 1
202301010103	馬単	11 → 4	2580	7
202301010103	三連複	4 - 9 - 11	1930	2
202301010103	三連単	11 → 4 → 9	10910	12
202301010104	単勝	9	1970	8
202301010104	複勝	9 1 13	440 200 160	8 3 1
202301010104	枠連	1 - 6	1160	5
202301010104	馬連	1 - 9	4420	20
202301010104	ワイド	1 - 9 9 - 13 1 - 13	1,140 1,620 520	16 26 4
202301010104	馬単	9 → 1	10010	44
202301010104	三連複	1 - 9 - 13	7060	28
202301010104	三連単	9 → 1 → 13	59080	244
202301010105	単勝	4	460	3
202301010105	複勝	4 10 7	130 130 160	2 1 4
202301010105	枠連	4 - 8	680	3
202301010105	馬連	4 - 10	740	1
202301010105	ワイド	4 - 10 4 - 7 7 - 10	300 380 300	3 5 2
202301010105	馬単	4 → 10	1430	4
202301010105	三連複	4 - 7 - 10	1040	2
202301010105	三連単	4 → 10 → 7	5380	9
202301010106	単勝	3	220	1
202301010106	複勝	3 6 7	130 550 160	1 7 3
202301010106	枠連	3 - 4	3430	11
202301010106	馬連	3 - 6	2900	10
