feature	importance
tansho_odds	161385.65242886543
popularity	27285.08272433281
trainer_id	13585.843858122826
horse_id	12899.277726888657
weight	11299.16410779953
jockey_id	9944.947568535805
rank_10races	9202.887152075768
prize_5races	8927.620199203491
prize_3races	8797.167629480362
prize_10races	8545.041405677795
rank_3races	8220.149129152298
rank_1000races	8206.136018276215
prize_1000races	7458.368475437164
rank_5races	7430.990221738815
weight_diff	6284.529361963272
umaban	5939.695007324219
course_len	5092.962661743164
impost	4179.418373346329
place	4162.021137237549
wakuban	3968.3514726161957
ground_state	1796.114928483963
race_class	1683.065526008606
weather	1543.685931444168
sex	1464.6297936439514
around	1256.379813194275
race_type	1103.5910476446152
age	426.5763883590698
